alpha,attack_risk,beta,sigma_eps_delta
0.05,0.1,0.85,5.430801391601563
0.05,0.3,0.6499999999999999,3.31817626953125
0.05,0.5,0.44999999999999996,2.7921508789062495
0.05,0.7,0.25,2.531573486328125
0.05,0.9,0.04999999999999993,2.3696258544921873
0.1,0.1,0.85,13.302308654785156
0.1,0.3,0.6499999999999999,4.839631652832033
0.1,0.5,0.44999999999999996,3.710260009765625
0.1,0.7,0.25,3.2225906372070314
0.1,0.9,0.04999999999999993,2.404328918457032
